t_s,sinal_filtrado
0.000000000000000000e+00,-2.144575361225974715e-04
2.000000000000000042e-03,-3.616732302201955190e-04
4.000000000000000083e-03,-5.075830773485491510e-04
6.000000000000000125e-03,-6.505719553232822486e-04
8.000000000000000167e-03,-7.890581839186363222e-04
1.000000000000000021e-02,-9.215350863220455593e-04
1.200000000000000025e-02,-1.046605189210428723e-03
1.400000000000000029e-02,-1.163006123991598738e-03
1.600000000000000033e-02,-1.269629047684411741e-03
1.799999999999999864e-02,-1.365531740384392590e-03
2.000000000000000042e-02,-1.449948995752826496e-03
2.199999999999999872e-02,-1.522302427909055528e-03
2.400000000000000050e-02,-1.582210702545942555e-03
2.599999999999999881e-02,-1.629499996714496709e-03
2.800000000000000058e-02,-1.664213628002816957e-03
2.999999999999999889e-02,-1.686619377764430727e-03
3.200000000000000067e-02,-1.697212898525804784e-03
3.400000000000000244e-02,-1.696715565496021219e-03
3.599999999999999728e-02,-1.686065240868304949e-03
3.799999999999999906e-02,-1.666398833569855209e-03
4.000000000000000083e-02,-1.639026284784541026e-03
4.200000000000000261e-02,-1.605396490867213232e-03
4.399999999999999745e-02,-1.567056418868439981e-03
4.599999999999999922e-02,-1.525605109096148755e-03
4.800000000000000100e-02,-1.482644399826505430e-03
5.000000000000000278e-02,-1.439728193224306492e-03
5.199999999999999761e-02,-1.398312065220498786e-03
5.399999999999999939e-02,-1.359705067948898576e-03
5.600000000000000117e-02,-1.325025654253444247e-03
5.800000000000000294e-02,-1.295163721860699904e-03
5.999999999999999778e-02,-1.270750770825553521e-03
6.199999999999999956e-02,-1.252139974312678266e-03
6.400000000000000133e-02,-1.239397458342606645e-03
6.600000000000000311e-02,-1.232305332456416509e-03
6.800000000000000488e-02,-1.230376302140569981e-03
7.000000000000000666e-02,-1.232879290676075750e-03
7.199999999999999456e-02,-1.238875380270613351e-03
7.399999999999999634e-02,-1.247263295573534589e-03
7.599999999999999811e-02,-1.256833364909567142e-03
7.799999999999999989e-02,-1.266328353606036320e-03
8.000000000000000167e-02,-1.274508877825718733e-03
8.200000000000000344e-02,-1.280220438228888390e-03
8.400000000000000522e-02,-1.282458581489587376e-03
8.599999999999999312e-02,-1.280428368521698305e-03
8.799999999999999489e-02,-1.273594268908883947e-03
8.999999999999999667e-02,-1.261716919115196027e-03
9.199999999999999845e-02,-1.244873951939351854e-03
9.400000000000000022e-02,-1.223463257150985990e-03
9.600000000000000200e-02,-1.198188359620756772e-03
9.800000000000000377e-02,-1.170026865770341495e-03
1.000000000000000056e-01,-1.140183956353032699e-03
1.019999999999999934e-01,-1.110033607532211891e-03
1.039999999999999952e-01,-1.081050623127471563e-03
1.059999999999999970e-01,-1.054736769542452242e-03
1.079999999999999988e-01,-1.032544456222726521e-03
1.100000000000000006e-01,-1.015801588008633091e-03
1.120000000000000023e-01,-1.005641420465526155e-03
1.140000000000000041e-01,-1.002941320084422324e-03
1.160000000000000059e-01,-1.008274031222859777e-03
1.179999999999999938e-01,-1.021874267548976986e-03
1.199999999999999956e-01,-1.043622315923688811e-03
