t_s,sinal_filtrado
0.000000000000000000e+00,9.653668703601259301e-05
2.000000000000000042e-03,1.236128906922491987e-04
4.000000000000000083e-03,1.487547638459050039e-04
6.000000000000000125e-03,1.714871580112782492e-04
8.000000000000000167e-03,1.913892337262479166e-04
1.000000000000000021e-02,2.081100679928414576e-04
1.200000000000000025e-02,2.213821892539892186e-04
1.400000000000000029e-02,2.310324416312433142e-04
1.600000000000000033e-02,2.369897977467102742e-04
1.799999999999999864e-02,2.392899542976575575e-04
2.000000000000000042e-02,2.380766610551144453e-04
2.199999999999999872e-02,2.335996975338485771e-04
2.400000000000000050e-02,2.262092711462201976e-04
2.599999999999999881e-02,2.163465121325777924e-04
2.800000000000000058e-02,2.045298208866116216e-04
2.999999999999999889e-02,1.913371001568886704e-04
3.200000000000000067e-02,1.773842839707316080e-04
3.400000000000000244e-02,1.633009497904473663e-04
3.599999999999999728e-02,1.497041189954023330e-04
3.799999999999999906e-02,1.371716176580146376e-04
4.000000000000000083e-02,1.262166013292146793e-04
4.200000000000000261e-02,1.172650055232282062e-04
4.399999999999999745e-02,1.106376530607908881e-04
4.599999999999999922e-02,1.065384301442777291e-04
4.800000000000000100e-02,1.050493523159228042e-04
5.000000000000000278e-02,1.061326054010698985e-04
5.199999999999999761e-02,1.096389379075468303e-04
5.399999999999999939e-02,1.153212743967058128e-04
5.600000000000000117e-02,1.228522135886649113e-04
5.800000000000000294e-02,1.318441215256378534e-04
5.999999999999999778e-02,1.418706753665834540e-04
6.199999999999999956e-02,1.524888243915683780e-04
6.400000000000000133e-02,1.632601724284077392e-04
6.600000000000000311e-02,1.737707911362078804e-04
6.800000000000000488e-02,1.836485133694738987e-04
7.000000000000000666e-02,1.925768728050983444e-04
7.199999999999999456e-02,2.003050545013990678e-04
7.399999999999999634e-02,2.066534831082597243e-04
7.599999999999999811e-02,2.115149672689485528e-04
7.799999999999999989e-02,2.148515949664242248e-04
8.000000000000000167e-02,2.166878135746101274e-04
8.200000000000000344e-02,2.171003590822725884e-04
8.400000000000000522e-02,2.162059551292301769e-04
8.599999999999999312e-02,2.141479493867173617e-04
8.799999999999999489e-02,2.110831895942683295e-04
8.999999999999999667e-02,2.071703670718944023e-04
9.199999999999999845e-02,2.025607452921853737e-04
