mean,std,min,max,ptp,abs_mean,abs_max,skew,kurt,zcr_median,janela,y
0.000103442909460523,0.0001876177582933828,-0.0001832289111394,0.0003947033888605,0.0005779322999999,0.0001813426179700343,0.0003947033888605,-0.00040424402232939886,-1.4087678738271205,0.24096385542168675,1,0
0.00017155589066050576,0.00018259397669644393,-0.0001570929111394,0.0005010744888605,0.0006581673999999,0.0002094622854305817,0.0005010744888605,-0.15221957587091212,-1.3095965907812166,0.24497991967871485,2,0
0.00012808816526051642,0.00018493007025130516,-0.0001626347111394,0.0004291520888605,0.0005917867999998999,0.00018523198367888108,0.0004291520888605,0.030710474545703498,-1.4133230178231257,0.24096385542168675,3,0
0.00011294595906051849,0.00018849637885493198,-0.0001779412111394,0.0004003419888605,0.0005782831999999001,0.0001831587634367054,0.0004003419888605,0.02050633680762547,-1.4710943436963537,0.24096385542168675,4,0
0.00010464155966052455,0.00021437874481763613,-0.0002498031111394,0.0004768381888605,0.0007266412999999,0.00019973601137139536,0.0004768381888605,0.08265459266572844,-1.3681612257179188,0.23694779116465864,5,0
-0.0013071673325878372,0.0008346141984452444,-0.0019993421111394,0.0004131195888605,0.0024124616999999,0.0013588807577817055,0.0019993421111394,0.8394542610710523,-0.9767371618399991,0.012048192771084338,6,0
-0.0019226279314910355,9.399127232723414e-05,-0.0019969584111394,-0.0015693565111394,0.0004276019,0.0019226279314910355,0.0019969584111394,1.9559579852016538,3.256442723937137,0.01606425702811245,7,0
-0.0015266191175394021,0.000272670393367315,-0.0019991122111394,-0.0009274999111394,0.0010716123,0.0015266191175394021,0.0019991122111394,0.3190511389310835,-1.0027194599378855,0.24497991967871485,8,0
-0.001134594436139402,0.00028671230557244956,-0.0016775910111394,-0.0005850820111394,0.001092509,0.001134594436139402,0.0016775910111394,0.008066887566993084,-1.107295915639328,0.24497991967871485,9,0
-0.0008520162633394036,0.00026831932039117154,-0.0013841539111394,-0.0003887232111394,0.0009954307,0.0008520162633394036,0.0013841539111394,-0.15258985894015312,-1.3419050187669326,0.24096385542168675,10,0
