t_s,sinal_filtrado,janela,classificacao
3.744,2.6945798284003185e-05,8,0
3.746,2.416098736882831e-05,8,0
3.748,2.144878339615816e-05,8,0
3.75,1.8880064205110326e-05,8,0
3.752,1.6517099584780964e-05,8,0
3.754,1.4411754450636775e-05,8,0
3.756,1.260461844071384e-05,8,0
3.758,1.1124957737819777e-05,8,0
3.76,9.991265296690411e-06,8,0
3.762,9.212121696949146e-06,8,0
3.764,8.787081652346625e-06,8,0
3.766,8.707374450403352e-06,8,0
3.768,8.95631509769904e-06,8,0
3.77,9.509410938984387e-06,8,0
3.772,1.0334206094485216e-05,8,0
3.774,1.1389961083701544e-05,8,0
3.776,1.2627325264654406e-05,8,0
3.778,1.3988208191951648e-05,8,0
3.78,1.5406078204044638e-05,8,0
3.782,1.680691301451113e-05,8,0
3.784,1.8111006226496163e-05,8,0
3.786,1.9235782533250663e-05,8,0
3.788,2.0099653927215435e-05,8,0
3.79,2.062675191667591e-05,8,0
3.792,2.0752155563932132e-05,8,0
3.794,2.0427071044208703e-05,8,0
3.796,1.9623323537984915e-05,8,0
3.798,1.833649163354108e-05,8,0
3.8,1.6587077222404604e-05,8,0
3.802,1.4419310628184716e-05,8,0
3.804,1.1897539959633e-05,8,0
3.806,9.100553535770432e-06,8,0
3.808,6.11450197933154e-06,8,0
3.81,3.025236034224128e-06,8,0
3.812,-8.913772736341652e-08,8,0
3.814,-3.16478698821502e-06,8,0
3.816,-6.157203001290302e-06,8,0
3.818,-9.044348256888136e-06,8,0
3.82,-1.1827673963674686e-05,8,0
3.822,-1.4531012290892296e-05,8,0
3.824,-1.7197565077514076e-05,8,0
3.826,-1.988536221548477e-05,8,0
3.828,-2.266164192840207e-05,8,0
3.83,-2.5596627160765704e-05,8,0
3.832,-2.875717312886023e-05,8,0
3.834,-3.220077347825823e-05,8,0
3.836,-3.597039904994185e-05,8,0
3.838,-4.00905215078692e-05,8,0
3.84,-4.4564452260817184e-05,8,0
3.842,-4.937294085165199e-05,8,0
3.844,-5.447394812020328e-05,8,0
3.846,-5.980361236820691e-05,8,0
3.848,-6.527851083754499e-05,8,0
3.85,-7.079924845280078e-05,8,0
3.852,-7.625519495628707e-05,8,0
3.854,-8.152999096452077e-05,8,0
3.856,-8.650736977779424e-05,8,0
3.858,-9.107687241315904e-05,8,0
3.86,-9.513909488694936e-05,8,0
3.862,-9.861017262647788e-05,8,0
3.864,-0.0001014252713193,8,0
3.866,-0.0001035409024018,8,0
3.868,-0.0001049359288754,8,0
3.87,-0.0001056112149036,8,0
3.872,-0.0001055880013839,8,0
3.874,-0.0001049052017592,8,0
3.876,-0.0001036158676918,8,0
3.878,-0.0001017830979574,8,0
3.88,-9.947569899472804e-05,8,0
3.882,-9.6763959627758e-05,8,0
3.884,-9.371594782322813e-05,8,0
3.886,-9.03947247430917e-05,8,0
3.888,-8.685675785034027e-05,8,0
3.89,-8.315162071045691e-05,8,0
3.892,-7.932288057931744e-05,8,0
3.894,-7.540995476442965e-05,8,0
3.896,-7.145062829623735e-05,8,0
3.898,-6.748381976648739e-05,8,0
3.9,-6.355209273348832e-05,8,0
3.902,-5.970341873331622e-05,8,0
3.904,-5.5991833094787966e-05,8,0
3.906,-5.247682447403027e-05,8,0
3.908,-4.922147392921752e-05,8,0
3.91,-4.628948153303047e-05,8,0
3.912,-4.374133134617924e-05,8,0
3.914,-4.162999029390735e-05,8,0
3.916,-3.999668557632146e-05,8,0
3.918,-3.886736771755513e-05,8,0
3.92,-3.8250369240997656e-05,8,0
3.922,-3.813553959089624e-05,8,0
3.924,-3.849488076201125e-05,8,0
3.926,-3.928450950314266e-05,8,0
3.928,-4.044765057499535e-05,8,0
3.93,-4.19183134369359e-05,8,0
3.932,-4.362530808875176e-05,8,0
3.934,-4.549627761413848e-05,8,0
3.936,-4.7461428716508086e-05,8,0
3.938,-4.945664196175902e-05,8,0
3.94,-5.14256815407185e-05,8,0
3.942,-5.332130541158211e-05,8,0
3.944,-5.510518102963296e-05,8,0
3.946,-5.674663318851675e-05,8,0
3.948,-5.822038990162e-05,8,0
3.95,-5.9503644854984375e-05,8,0
3.952,-6.05728992556725e-05,8,0
3.954,-6.140113162919355e-05,8,0
3.956,-6.195582882106564e-05,8,0
3.958,-6.21983034255788e-05,8,0
3.96,-6.208454920482694e-05,8,0
3.962,-6.156766456871323e-05,8,0
3.964,-6.060164060129224e-05,8,0
3.966,-5.9146107441727626e-05,8,0
3.968,-5.717148486105039e-05,8,0
3.97,-5.4663921748885465e-05,8,0
3.972,-5.1629462749064006e-05,8,0
3.974,-4.809701138543698e-05,8,0
3.976,-4.411979842969838e-05,8,0
3.978,-3.9775191930030975e-05,8,0
3.98,-3.5162815416114885e-05,8,0
3.982,-3.0401068313772417e-05,8,0
3.984,-2.562225251742209e-05,8,0
3.986,-2.0966591886897647e-05,8,0
3.988,-1.6575476533625788e-05,8,0
3.99,-1.258428819212228e-05,8,0
3.992,-9.11521797071663e-06,8,0
3.994,-6.270581493258355e-06,8,0
3.996,-4.127207479416416e-06,8,0
3.998,-2.7324739754894557e-06,8,0
4.0,-2.102478288006305e-06,9,0
4.002,-2.2226270140233985e-06,9,0
4.004,-3.0506136528971464e-06,9,0
4.006,-4.521393771853e-06,9,0
4.008,-6.553504949236356e-06,9,0
4.01,-9.055989978175671e-06,9,0
4.012,-1.1935246605948796e-05,9,0
4.014,-1.510126578096745e-05,9,0
4.016,-1.8472863200905467e-05,9,0
4.018,-2.1981636280287276e-05,9,0
4.02,-2.557450352087324e-05,9,0
4.022,-2.9214809215522924e-05,9,0
4.024,-3.28820877724842e-05,9,0
4.026,-3.657065884965928e-05,9,0
4.028,-4.028725466988885e-05,9,0
4.03,-4.4047875071135264e-05,9,0
4.032,-4.787406024777858e-05,9,0
4.034,-5.1788797924646766e-05,9,0
4.036,-5.581233620985632e-05,9,0
4.038,-5.995821078408151e-05,9,0
4.04,-6.422977323347052e-05,9,0
4.042,-6.861743710874961e-05,9,0
4.044,-7.309677716449903e-05,9,0
4.046,-7.76275304079961e-05,9,0
4.048,-8.215345710151075e-05,9,0
4.05,-8.660297499432443e-05,9,0
4.052,-9.089052236850192e-05,9,0
4.054,-9.4918689541955e-05,9,0
4.056,-9.858118453849154e-05,9,0
4.058,-0.0001017666194105,9,0
4.06,-0.0001043629707296,9,0
4.062,-0.000106262464553,9,0
4.064,-0.0001073665884757,9,0
4.066,-0.0001075909155911,9,0
4.068,-0.0001068694357658,9,0
4.07,-0.0001051581608256,9,0
4.072,-0.0001024378915402,9,0
4.074,-9.87161245471607e-05,9,0
4.076,-9.402807573575976e-05,9,0
4.078,-8.843674198369162e-05,9,0
4.08,-8.203189835527561e-05,9,0
4.082,-7.492796775459469e-05,9,0
4.084,-6.726079427098022e-05,9,0
4.086,-5.918347428920265e-05,9,0
4.088,-5.0861494695531954e-05,9,0
4.09,-4.2467437186757e-05,9,0
4.092,-3.417545366553433e-05,9,0
4.094,-2.6155693806355164e-05,9,0
4.096,-1.856891746536015e-05,9,0
4.098,-1.1561574343629712e-05,9,0
4.1,-5.261568215248692e-06,9,0
4.102,2.2524256166367638e-07,9,0
4.104,4.817863097962808e-06,9,0
4.106,8.462283671005725e-06,9,0
4.108,1.1132719788747456e-05,9,0
4.11,1.2831701870034409e-05,9,0
4.112,1.3588858973313943e-05,9,0
4.114,1.3458495335547446e-05,9,0
4.116,1.2516293020508868e-05,9,0
4.118,1.0855551375888203e-05,9,0
4.12,8.583280361995039e-06,9,0
4.122,5.816306239116789e-06,9,0
4.124,2.677439551700452e-06,9,0
4.126,-7.082849307990055e-07,9,0
4.128,-4.2173059439070566e-06,9,0
4.13,-7.731184676495212e-06,9,0
4.132,-1.1140172308467508e-05,9,0
4.134,-1.4346587313813664e-05,9,0
4.136,-1.726785710895588e-05,9,0
4.138,-1.9839093002650436e-05,9,0
4.14,-2.2015075620296417e-05,9,0
4.142,-2.3771509264803146e-05,9,0
4.144,-2.5105404985114672e-05,9,0
4.146,-2.6034506992600915e-05,9,0
4.148,-2.6595761284280155e-05,9,0
4.15,-2.6842904733489845e-05,9,0
4.152,-2.6843321759125064e-05,9,0
4.154,-2.667436835362657e-05,9,0
4.156,-2.641937706181624e-05,9,0
4.158,-2.616353581678077e-05,9,0
4.16,-2.5989826689750687e-05,9,0
4.162,-2.5975241194413788e-05,9,0
4.164,-2.6187505523411067e-05,9,0
4.166,-2.6682493762373043e-05,9,0
4.168,-2.7502405549589552e-05,9,0
4.17,-2.8674709195370084e-05,9,0
4.172,-3.0211821589593765e-05,9,0
4.174,-3.211148261293334e-05,9,0
4.176,-3.435776514295451e-05,9,0
4.178,-3.6922638314516806e-05,9,0
4.18,-3.976797375230549e-05,9,0
4.182,-4.284786870691284e-05,9,0
4.184,-4.6111173639985805e-05,9,0
4.186,-4.950414687688408e-05,9,0
4.188,-5.297317708202494e-05,9,0
4.19,-5.646747826098605e-05,9,0
4.192,-5.994158606108072e-05,9,0
4.194,-6.335742925162014e-05,9,0
4.196,-6.668575294607649e-05,9,0
4.198,-6.990670843376851e-05,9,0
4.2,-7.300947049328504e-05,9,0
4.202,-7.599081439555377e-05,9,0
4.204,-7.885271036475114e-05,9,0
4.206,-8.159915278276919e-05,9,0
4.208,-8.42325839867771e-05,9,0
4.21,-8.675036627053554e-05,9,0
4.212,-8.914177563182113e-05,9,0
4.214,-9.13859118515886e-05,9,0
4.216,-9.345076475356586e-05,9,0
4.218,-9.52935112080343e-05,9,0
4.22,-9.68619833288028e-05,9,0
4.222,-9.809715836475876e-05,9,0
4.224,-9.893648117860438e-05,9,0
4.226,-9.931781553524926e-05,9,0
4.228,-9.91837817412246e-05,9,0
4.23,-9.848616422867376e-05,9,0
4.232,-9.718999999262136e-05,9,0
4.234,-9.527693459102072e-05,9,0
4.236,-9.274750058482276e-05,9,0
4.238,-8.962214832372246e-05,9,0
4.24,-8.59410778759345e-05,9,0
4.242,-8.1763071686958e-05,9,0
4.244,-7.716355707186321e-05,9,0
4.246,-7.223208242083637e-05,9,0
4.248,-6.706933261681425e-05,9,0
4.25,-6.178374025948228e-05,9,0
4.252,-5.648766228584548e-05,9,0
4.254,-5.129303595649491e-05,9,0
4.256,-4.630646744726177e-05,9,0
4.258,-4.162384864807954e-05,9,0
4.26,-3.7324811766914495e-05,9,0
4.262,-3.34675709845492e-05,9,0
4.264,-3.0084874539439664e-05,9,0
4.266,-2.718178048047376e-05,9,0
4.268,-2.4735738186402263e-05,9,0
4.27,-2.269909674119336e-05,9,0
4.272,-2.100379367914135e-05,9,0
4.274,-1.956767847189363e-05,9,0
4.276,-1.830174500346432e-05,9,0
4.278,-1.7117523201049622e-05,9,0
4.28,-1.5933989742091098e-05,9,0
4.282,-1.4683524572353324e-05,9,0
4.284,-1.3316601609470348e-05,9,0
4.286,-1.1805036772441223e-05,9,0
4.288,-1.0143715674478612e-05,9,0
4.29,-8.35079198625736e-06,9,0
4.292,-6.466410379984496e-06,9,0
4.294,-4.550069776827144e-06,9,0
4.296,-2.676784422992436e-06,9,0
4.298,-9.322407248750004e-07,9,0
4.3,5.927689846086298e-07,9,0
4.302,1.8082572002963689e-06,9,0
4.304,2.6309049775330017e-06,9,0
4.306,2.989590195191219e-06,9,0
4.308,2.830416629921541e-06,9,0
4.31,2.1211145232751825e-06,9,0
4.312,8.546186440885791e-07,9,0
4.314,-9.484457324192808e-07,9,0
4.316,-3.238640613508996e-06,9,0
4.318,-5.938147422386023e-06,9,0
4.32,-8.94281705106157e-06,9,0
4.322,-1.212575830483956e-05,9,0
4.324,-1.5342253237100353e-05,9,0
4.326,-1.8435710964035087e-05,9,0
4.328,-2.1244368448610623e-05,9,0
4.33,-2.3608460227719106e-05,9,0
4.332,-2.537752934141148e-05,9,0
4.334,-2.641745415590697e-05,9,0
4.336,-2.661673146870074e-05,9,0
4.338,-2.589165255533057e-05,9,0
4.34,-2.4190177396919532e-05,9,0
4.342,-2.1494449252283108e-05,9,0
4.344,-1.7821956979199285e-05,9,0
4.346,-1.3225369768788918e-05,9,0
4.348,-7.791060629438916e-06,9,0
4.35,-1.6363123777169147e-06,9,0
4.352,5.094797885954089e-06,9,0
4.354,1.2236763159719451e-05,9,0
4.356,1.960904930648013e-05,9,0
4.358,2.702321013782395e-05,9,0
4.36,3.429035634730782e-05,9,0
4.362,4.122864724582441e-05,9,0
4.364,4.7670500390363696e-05,9,0
4.366,5.346920806977471e-05,9,0
4.368,5.85046250371232e-05,9,0
4.37,6.2687593168673e-05,9,0
4.372,6.596283555023255e-05,9,0
4.374,6.831017351222838e-05,9,0
4.376,6.974404248789816e-05,9,0
4.378,7.031137362297953e-05,9,0
4.38,7.008797825625612e-05,9,0
4.382,6.91736415919439e-05,9,0
4.384,6.768619735457153e-05,9,0
4.386,6.575489786095794e-05,9,0
4.388,6.351341469166367e-05,9,0
4.39,6.109283232599398e-05,9,0
4.392,5.861503842652212e-05,9,0
4.394,5.618693238700594e-05,9,0
4.396,5.389583425906096e-05,9,0
4.398,5.1806393838153135e-05,9,0
4.4,4.995920334610098e-05,9,0
4.402,4.837119323585808e-05,9,0
4.404,4.7037711363207296e-05,9,0
4.406,4.593598525762668e-05,9,0
4.408,4.5029527936233154e-05,9,0
4.41,4.4273007509885374e-05,9,0
4.412,4.3617130683906783e-05,9,0
4.414,4.301316347826505e-05,9,0
4.416,4.241682817208223e-05,9,0
4.418,4.1791444261326376e-05,9,0
4.42,4.111026526130458e-05,9,0
4.422,4.035798962942048e-05,9,0
4.424,3.95314329940249e-05,9,0
4.426,3.8639369282699526e-05,9,0
4.428,3.7701581563643566e-05,9,0
4.43,3.6747209463769455e-05,9,0
4.432,3.581253796532394e-05,9,0
4.434,3.49384230917147e-05,9,0
4.436,3.416756153011862e-05,9,0
4.438,3.354177716768131e-05,9,0
4.44,3.3099453321919685e-05,9,0
4.442,3.2873214085495854e-05,9,0
4.444,3.288794219272642e-05,9,0
4.446,3.315920584485874e-05,9,0
4.448,3.369216519512819e-05,9,0
4.45,3.4481032496635114e-05,9,0
4.452,3.5509134792138004e-05,9,0
4.454,3.674957255188241e-05,9,0
4.456,3.816642388618717e-05,9,0
4.458,3.971643366827317e-05,9,0
4.46,4.135112096089106e-05,9,0
4.462,4.301920657110241e-05,9,0
4.464,4.466920934571315e-05,9,0
4.466,4.6252000661424376e-05,9,0
4.468,4.772306427784901e-05,9,0
4.47,4.904422804882781e-05,9,0
4.472,5.018474181097007e-05,9,0
4.474,5.112172693015189e-05,9,0
4.476,5.184013073694955e-05,9,0
