t_s,sinal_filtrado,janela
0.0,-0.00019710348547690384,1
0.002,-0.00018654714006051943,1
0.004,-0.00017553284453296575,1
0.006,-0.0001645335246590966,1
0.008,-0.00015399046762235269,1
0.01,-0.00014429715299831063,1
0.012,-0.00013578589521708303,1
0.014,-0.00012871754485937556,1
0.016,-0.00012327428007230192,1
0.018,-0.00011955547455762078,1
0.02,-0.00011757670762422288,1
0.022,-0.00011727207173968585,1
0.024,-0.00011849990072406104,1
0.026,-0.00012105182351205751,1
0.028,-0.00012466471652103017,1
0.03,-0.0001290348390561881,1
0.032,-0.0001338333174650116,1
0.034,-0.0001387222172249608,1
0.036,-0.00014337060575571263,1
0.038,-0.0001474700822999427,1
0.04,-0.00015074912483966198,1
0.042,-0.00015298538115591723,1
0.044,-0.00015401496968882127,1
0.046,-0.0001537381314559062,1
0.048,-0.0001521211181696173,1
0.05,-0.00014919474912533827,1
0.052,-0.00014505033904994077,1
0.054,-0.00013983358567280115,1
0.056,-0.00013373666667134348,1
0.058,-0.00012698853932485243,1
0.06,-0.0001198434895007516,1
0.062,-0.00011256832144645592,1
0.064,-0.00010542898117044972,1
0.066,-9.86776030174349e-05,1
0.068,-9.254086473860339e-05,1
0.07,-8.721022978204457e-05,1
0.072,-8.283432625148893e-05,1
0.07399999999999998,-7.951349413568706e-05,1
0.076,-7.729646903665275e-05,1
0.078,-7.617922933414989e-05,1
0.08,-7.610612262224331e-05,1
0.082,-7.697338404828632e-05,1
0.084,-7.863499543062366e-05,1
0.08599999999999998,-8.091056463480534e-05,1
0.08799999999999998,-8.359466760176822e-05,1
0.08999999999999998,-8.646700975920767e-05,1
0.092,-8.930286011437924e-05,1
0.094,-9.188340526441715e-05,1
0.096,-9.400579591751108e-05,1
0.098,-9.549260796788007e-05,1
0.1,-9.620029944915312e-05,1
0.102,-9.60262199584102e-05,1
0.104,-9.49139116970766e-05,1
0.106,-9.285670412968717e-05,1
0.108,-8.989974244719854e-05,1
0.11,-8.614049761988167e-05,1
0.112,-8.172752585569037e-05,1
0.114,-7.685693725165862e-05,1
0.116,-7.17659053490393e-05,1
0.118,-6.672274986972785e-05,1
0.12,-6.201365016249602e-05,1
0.122,-5.7926723142902e-05,1
0.124,-5.4734756065467674e-05,1
0.126,-5.267811208567724e-05,1
0.128,-5.19492220951861e-05,1
0.13,-5.267980751824412e-05,1
0.132,-5.4931700057551967e-05,1
0.134,-5.869186535766193e-05,1
0.136,-6.387195173978041e-05,1
0.138,-7.031234308824125e-05,1
0.14,-7.779032193356595e-05,1
0.142,-8.603161016875973e-05,1
0.144,-9.472432226962008e-05,1
0.146,-0.0001035342897744541,1
0.148,-0.00011212081355981442,1
0.15,-0.00012015213959029317,1
0.152,-0.00012732022049143747,1
0.154,-0.00013335444579002363,1
0.156,-0.0001380339002968746,1
0.158,-0.00014119745811980237,1
0.16,-0.00014275090556438975,1
0.162,-0.00014267049260204966,1
0.164,-0.0001410027810316833,1
0.166,-0.00013786113831257515,1
0.168,-0.00013341946034663935,1
0.17,-0.00012790361533376475,1
0.172,-0.00012158084690931484,1
0.174,-0.00011474722561556789,1
0.176,-0.0001077133578827728,1
0.178,-0.00010078890765449544,1
0.18,-9.426684975518131e-05,1
0.182,-8.840853800120611e-05,1
0.184,-8.343056175507431e-05,1
0.186,-7.949407568164386e-05,1
0.188,-7.66969730342128e-05,1
0.19,-7.5069044707604e-05,1
0.192,-7.457016848998137e-05,1
0.194,-7.509159132617787e-05,1
0.196,-7.64604245594054e-05,1
0.198,-7.844744510436309e-05,1
0.2,-8.077810361366733e-05,1
0.202,-8.314632598399841e-05,1
0.204,-8.523039189968227e-05,1
0.206,-8.671001015694659e-05,1
0.208,-8.728372570011184e-05,1
0.21,-8.668590750361817e-05,1
0.212,-8.470261373629166e-05,1
0.214,-8.118550429578166e-05,1
0.216,-7.60627678835519e-05,1
0.218,-6.9345996649365e-05,1
0.22,-6.113224107986807e-05,1
0.222,-5.160104993729909e-05,1
0.224,-4.1006913152514615e-05,1
0.226,-2.966793039210906e-05,1
0.228,-1.7951608538188893e-05,1
0.23,-6.25854649359124e-06,1
0.232,4.99537504704609e-06,1
0.234,1.539766057341237e-05,1
0.236,2.4557928939788375e-05,1
0.238,3.2125761520526835e-05,1
0.24,3.780671018178793e-05,1
0.242,4.137563901759836e-05,1
0.244,4.268677234858439e-05,1
0.246,4.167999901535176e-05,1
0.248,3.838312774956233e-05,1
0.25,3.2909944445306384e-05,1
0.252,2.545413018290048e-05,1
0.254,1.6279368620897147e-05,1
0.256,5.706280327786772e-06,1
0.258,-5.902884500386072e-06,1
0.26,-1.816066488201572e-05,1
0.262,-3.06707660040369e-05,1
0.264,-4.304341819745357e-05,1
0.266,-5.490903807729414e-05,1
0.268,-6.592977438503457e-05,1
0.27,-7.580867594098191e-05,1
0.272,-8.429635264328544e-05,1
0.274,-9.119522345651284e-05,1
0.276,-9.636172921140921e-05,1
0.278,-9.970709634374093e-05,1
0.28,-0.00010119725563338347,1
0.282,-0.00010085231257234765,1
0.284,-9.874558504900144e-05,1
0.286,-9.500180944714922e-05,1
0.288,-8.979385395963118e-05,1
0.29,-8.333731040731731e-05,1
0.292,-7.588268216395789e-05,1
0.294,-6.770540973714039e-05,1
0.296,-5.9094430085012336e-05,1
0.298,-5.0340139803055365e-05,1
0.3,-4.172250771481889e-05,1
0.302,-3.3499826943491045e-05,1
0.304,-2.5898403353541605e-05,1
0.306,-1.910344202909897e-05,1
0.308,-1.3251505394763844e-05,1
0.31,-8.425083180544446e-06,1
0.312,-4.649901124210246e-06,1
0.314,-1.8955136298979044e-06,1
0.316,-7.949605750162073e-08,1
0.318,9.247422202813144e-07,1
0.32,1.2768037374878108e-06,1
0.322,1.155387309988454e-06,1
0.324,7.425096383041111e-07,1
0.326,2.0710898158367057e-07,1
0.328,-3.1041422104831693e-07,1
0.33,-7.110387138635008e-07,1
0.332,-9.458675131395565e-07,1
0.334,-1.01985174527359e-06,1
0.336,-9.903330878733362e-07,1
0.338,-9.609753641658077e-07,1
0.34,-1.0721137004801455e-06,1
0.342,-1.4886576835184623e-06,1
0.344,-2.3865863986018607e-06,1
0.346,-3.938978715806536e-06,1
0.348,-6.302509275324263e-06,1
0.35,-9.605332656448185e-06,1
0.352,-1.3937167243123036e-05,1
0.354,-1.9342137041596e-05,1
0.356,-2.581458253287102e-05,1
0.358,-3.3297711372828255e-05,1
0.36,-4.1684721375830255e-05,1
0.362,-5.082194065495566e-05,1
0.364,-6.0513596011850376e-05,1
0.366,-7.05280009671569e-05,1
0.368,-8.060514777473386e-05,1
0.37,-9.04657526026086e-05,1
0.372,-9.982166607161841e-05,1
0.374,-0.0001083872960757213,1
0.376,-0.00011589145916768627,1
0.378,-0.0001220890103041787,1
0.38,-0.00012677172228344635,1
0.382,-0.00012977809261294115,1
0.384,-0.00013100185657119692,1
0.386,-0.00013039885468946907,1
0.388,-0.00012799163310723752,1
0.39,-0.00012387100648734013,1
0.392,-0.00011819398202282575,1
0.394,-0.00011117790459509368,1
0.396,-0.00010309122861895387,1
0.398,-9.424170376054515e-05,1
0.4,-8.496285195728833e-05,1
0.402,-7.559948734663437e-05,1
0.404,-6.649287796433165e-05,1
0.406,-5.7966096150918506e-05,1
0.408,-5.031015453960885e-05,1
0.41,-4.3771607221957325e-05,1
0.412,-3.854232252931293e-05,1
0.414,-3.475202485217062e-05,1
0.416,-3.246394627918106e-05,1
0.418,-3.167361529835339e-05,1
0.42,-3.231056946806151e-05,1
0.422,-3.424268932278469e-05,1
0.424,-3.728290188629248e-05,1
0.426,-4.1198101292716417e-05,1
0.428,-4.572014526628757e-05,1
0.43,-5.055863228579374e-05,1
0.432,-5.541490678579693e-05,1
0.434,-5.999652966897815e-05,1
0.436,-6.403140872221689e-05,1
0.438,-6.72809241905811e-05,1
0.44,-6.955160427194152e-05,1
0.442,-7.070502151387362e-05,1
0.444,-7.066547668019964e-05,1
0.446,-6.942480430221675e-05,1
0.448,-6.70435297225492e-05,1
0.45,-6.364782732978273e-05,1
0.452,-5.942225168665909e-05,1
0.454,-5.459882428384361e-05,1
0.456,-4.944349085199097e-05,1
0.458,-4.424105957471432e-05,1
0.46,-3.927955173169913e-05,1
0.462,-3.4834662721932344e-05,1
0.464,-3.115492336217785e-05,1
0.466,-2.8448190348194447e-05,1
0.468,-2.687018012968488e-05,1
0.47,-2.6515761169653016e-05,1
0.472,-2.7413553107701943e-05,1
0.474,-2.952406998485541e-05,1
0.476,-3.274130627135833e-05,1
0.478,-3.6897430236551405e-05,1
0.48,-4.177018853721946e-05,1
0.482,-4.709272256452965e-05,1
0.484,-5.2565646926539474e-05,1
0.486,-5.787128464926954e-05,1
0.488,-6.268978598081726e-05,1
0.49,-6.671652131359165e-05,1
0.492,-6.967979535803107e-05,1
0.494,-7.135773979542273e-05,1
0.496,-7.159326728281146e-05,1
0.498,-7.030613564059526e-05,1
0.5,-6.750131901943204e-05,2
0.502,-6.327293478954182e-05,2
0.504,-5.78030378079054e-05,2
0.506,-5.1354840986014047e-05,2
0.508,-4.426040621981309e-05,2
0.51,-3.690347907996349e-05,2
0.512,-2.9698745613799715e-05,2
0.514,-2.3069182046221456e-05,2
0.516,-1.74232238716894e-05,2
0.518,-1.3133232620728907e-05,2
0.52,-1.0516351242288097e-05,2
0.522,-9.818482475031556e-06,2
0.524,-1.1201888747513634e-05,2
0.526,-1.4736800213215172e-05,2
0.528,-2.039735671875476e-05,2
0.53,-2.8062086628726833e-05,2
0.532,-3.751887875656346e-05,2
0.534,-4.847408934104049e-05,2
0.536,-6.056516753928565e-05,2
0.538,-7.33760675398717e-05,2
0.54,-8.645473998382925e-05,2
0.542,-9.933206044898209e-05,2
0.544,-0.00011154150772607265,2
0.546,-0.00012263868255644832,2
0.548,-0.00013221949864716549,2
0.55,-0.00013993584761175907,2
0.552,-0.000145507876732538,2
0.554,-0.0001487325960159808,2
0.556,-0.00014948906047227312,2
0.558,-0.00014774060214143287,2
0.56,-0.0001435344451034726,2
0.562,-0.0001369986931385654,2
0.564,-0.00012833643498254374,2
0.566,-0.00011781678340770675,2
0.568,-0.00010576304448373679,2
0.57,-9.253870148601356e-05,2
0.572,-7.853222878252866e-05,2
0.574,-6.41417577345582e-05,2
0.576,-4.9760349039254007e-05,2
0.578,-3.576229796836816e-05,2
0.58,-2.2490698752397885e-05,2
0.582,-1.02464668023732e-05,2
0.584,7.209031343337922e-07,2
0.586,1.0220486413317772e-05,2
0.588,1.812465440641777e-05,2
0.59,2.4371210249547848e-05,2
0.592,2.8963003756046727e-05,2
0.594,3.1965282137871385e-05,2
0.596,3.3501082157005804e-05,2
0.598,3.374486980805822e-05,2
0.6,3.29144748927529e-05,2
0.602,3.126130449876929e-05,2
0.604,2.9058954790673416e-05,2
0.606,2.6590630114369903e-05,2
0.608,2.4136067720896162e-05,2
0.61,2.195880783807305e-05,2
0.612,2.0294590040663903e-05,2
0.614,1.9341478671723633e-05,2
0.616,1.9252187066099777e-05,2
0.618,2.0129067557131384e-05,2
0.62,2.20222551894767e-05,2
0.622,2.493131355080428e-05,2
0.624,2.8810361952821807e-05,2
0.626,3.357614999237671e-05,2
0.628,3.911806458994985e-05,2
0.63,4.5308812964273896e-05,2
0.632,5.201465133995396e-05,2
0.634,5.910444040313004e-05,2
0.636,6.64572274139906e-05,2
0.638,7.396821681167211e-05,2
0.64,8.155285728591453e-05,2
0.642,8.914855709439875e-05,2
0.644,9.671352323159841e-05,2
