t_s,sinal_filtrado,janela,classificacao
0.0,-0.0009942095985183,1,0
0.002,-0.0009942095985183,1,0
0.004,-0.0010722182985183,1,0
0.006,-0.0010301828985183,1,0
0.008,-0.0009078155985183,1,0
0.01,-0.0007301875985183,1,0
0.012,-0.0005836323985183,1,0
0.014,-0.0006089455985183,1,0
0.016,-0.0007544117985183,1,0
0.018,-0.0009425788985183,1,0
0.02,-0.0010897632985183,1,0
0.022,-0.0010664707985183,1,0
0.024,-0.0009705177985183,1,0
0.026,-0.0008161096985183,1,0
0.028,-0.0006276037985183,1,0
0.03,-0.0005967729985183,1,0
0.032,-0.0007133685985183,1,0
0.034,-0.0008757747985183,1,0
0.036,-0.0010776027985183,1,0
0.038,-0.0010984147985183,1,0
0.04,-0.0010289486985183,1,0
0.042,-0.0008933197985183,1,0
0.044,-0.0006957872985183,1,0
0.046,-0.0006050977985183,1,0
0.048,-0.0006753745985183,1,0
0.05,-0.0008274957985183,1,0
0.052,-0.0010479335985183,1,0
0.054,-0.0009044699485183,1,0
0.056,-0.0007610062985183,1,0
0.058,-0.0006148140985183,1,0
0.06,-0.0006425956985183,1,0
0.062,-0.0009775115985183,1,0
0.064,-0.0011159355985183,1,0
0.066,-0.0011075079485183,1,0
0.068,-0.0010990802985183,1,0
0.07,-0.0009702878985183,1,0
0.072,-0.0008414954985183,1,0
0.0739999999999999,-0.0006535824985183,1,0
0.076,-0.0006373321985183,1,0
0.078,-0.0006210818985183,1,0
0.08,-0.0007306836985183,1,0
0.082,-0.0011044405985183,1,0
0.084,-0.0011237884985183,1,0
0.0859999999999999,-0.0010891401485183,1,0
0.0879999999999999,-0.0010544917985183,1,0
0.0899999999999999,-0.0007062900985183,1,0
0.092,-0.0006618286485183,1,0
0.094,-0.0006173671985183,1,0
0.096,-0.0006894226985183,1,0
0.098,-0.0008479205985183,1,0
0.1,-0.0010686366985183,1,0
0.102,-0.0011437655985183,1,0
0.104,-0.0010952082985183,1,0
0.106,-0.0009648912985183,1,0
0.108,-0.0007739895985183,1,0
0.11,-0.0006229936985183,1,0
0.112,-0.0006479196985183,1,0
0.114,-0.0007876383985183,1,0
0.116,-0.0009838277985183,1,0
0.118,-0.0011200858985183,1,0
0.12,-0.0011068484985183,1,0
0.122,-0.0010121054985183,1,0
0.124,-0.0008454037985183,1,0
0.126,-0.0006434305985183,1,0
0.128,-0.0006130958985183,1,0
0.13,-0.0007272956985183,1,0
0.132,-0.0008944692985183,1,0
0.134,-0.0010982816985183,1,0
0.136,-0.0011168914985183,1,0
0.138,-0.0010435533985183,1,0
0.14,-0.0008994181985183,1,0
0.142,-0.0006923750985183,1,0
0.144,-0.0006031012985183,1,0
0.146,-0.0006765966985183,1,0
0.148,-0.0008274352985183,1,0
0.15,-0.0010332199985183,1,0
0.152,-0.0011213200985183,1,0
0.154,-0.0010841246985183,1,0
0.156,-0.0009548240985183,1,0
0.158,-0.0006148382985183,1,0
0.16,-0.0006257161985183,1,0
0.162,-0.0006365940985183,1,0
0.164,-0.0007756351985183,1,0
0.166,-0.0009697554985183,1,0
0.168,-0.0011221791985183,1,0
0.17,-0.0011067516985183,1,0
0.172,-0.0010119602985183,1,0
0.174,-0.0008496750985183,1,0
0.176,-0.0006513076985183,1,0
0.178,-0.0006202227985183,1,0
0.18,-0.0007393351985183,1,0
0.182,-0.0008906456985183,1,0
0.184,-0.0010906102985183,1,0
0.186,-0.0011151732985183,1,0
0.188,-0.0010459733985183,1,0
0.19,-0.0009019470985183,1,0
0.192,-0.0007016073985183,1,0
0.194,-0.0006097078985183,1,0
0.196,-0.0006829007985183,1,0
0.198,-0.0010510311985183,1,0
0.2,-0.0011217193985183,1,0
0.202,-0.0011032124485183,1,0
0.204,-0.0010847054985183,1,0
0.206,-0.0009572682985183,1,0
0.208,-0.0007715453985183,1,0
0.21,-0.0006201622985183,1,0
0.212,-0.0006343918985183,1,0
0.214,-0.0007690043985183,1,0
0.216,-0.0009636812985183,1,0
0.218,-0.0011077196985183,1,0
0.22,-0.0010934658985183,1,0
0.222,-0.0010007314985183,1,0
0.224,-0.0008424029985183,1,0
0.226,-0.0006523361985183,1,0
0.228,-0.0006208519985183,1,0
0.23,-0.0007264486985183,1,0
0.232,-0.0008935617985183,1,0
0.234,-0.0010899689985183,1,0
0.236,-0.0011146045985183,1,0
0.238,-0.0010490709985183,1,0
0.24,-0.0009165517985183,1,0
0.242,-0.0007202292985183,1,0
0.244,-0.0006764635985183,1,0
0.246,-0.0008340418985183,1,0
0.248,-0.0010465178985183,1,0
0.25,-0.0010848264985183,1,0
0.252,-0.0011231350985183,1,0
0.254,-0.0009559977985183,1,0
0.256,-0.0008597967485183,1,0
0.258,-0.0007635956985183,1,0
0.26,-0.0006344765985183,1,0
0.262,-0.0011090264985183,1,0
0.264,-0.0011037750985183,1,0
0.266,-0.0010985236985183,1,0
0.268,-0.0010682978985183,1,0
0.27,-0.0010380720985183,1,0
0.272,-0.0010078462985183,1,0
0.274,-0.0008479447985183,1,0
0.276,-0.0006469032985183,1,0
0.278,-0.0006171493985183,1,0
0.28,-0.0008852974985183,1,0
0.282,-0.0010895454985183,1,0
0.284,-0.0011023654485183,1,0
0.286,-0.0011151853985183,1,0
0.288,-0.0010497969985183,1,0
0.29,-0.0007022849985183,1,0
0.292,-0.0006851392985183,1,0
0.294,-0.0006679935985183,1,0
0.296,-0.0010319857985183,1,0
0.298,-0.0010720972985183,1,0
0.3,-0.0011122087985183,1,0
0.302,-0.0010916448485183,1,0
0.304,-0.0010710808985183,1,0
0.306,-0.0009444785985183,1,0
0.308,-0.0007531412985183,1,0
0.31,-0.0006041660985183,1,0
0.312,-0.0006251353985183,1,0
0.314,-0.0007654590985183,1,0
0.316,-0.0011076349985183,1,0
0.318,-0.0010935868985183,1,0
0.32,-0.0009954800985183,1,0
0.322,-0.0009201999485183,1,0
0.324,-0.0008449197985183,1,0
0.326,-0.0006406838985183,1,0
0.328,-0.0007138525985183,1,0
0.33,-0.0008943180485183,1,0
0.332,-0.0010747834985183,1,0
0.334,-0.0011074292985183,1,0
0.336,-0.0010461306985183,1,0
0.338,-0.0006988122985183,1,0
0.34,-0.0006492385985183,1,0
0.342,-0.0005996648985183,1,0
0.344,-0.0006289045485183,1,0
0.346,-0.0006581441985183,1,0
0.348,-0.0010286219985183,1,0
0.35,-0.0011159839985183,1,0
0.352,-0.0011000724985183,1,0
0.354,-0.0010841609985183,1,0
0.356,-0.0009593131985183,1,0
0.358,-0.0006059931985183,1,0
0.36,-0.0006216505985183,1,0
0.362,-0.0009305393985183,1,0
0.364,-0.0010109196985183,1,0
0.366,-0.0010912999985183,1,0
0.368,-0.0010911487485183,1,0
0.37,-0.0010909974985183,1,0
0.372,-0.0010000296985183,1,0
0.374,-0.0008449439985183,1,0
0.376,-0.0006412525985183,1,0
0.378,-0.0006104096985183,1,0
0.38,-0.0008726408985183,1,0
0.382,-0.0010733193985183,1,0
0.384,-0.0011040170985183,1,0
0.386,-0.0009009911985183,1,0
0.388,-0.0006902696985183,1,0
0.39,-0.0006042507985183,1,0
0.392,-0.0006277651318517,1,0
0.394,-0.000651279465185,1,0
0.396,-0.0006747937985183,1,0
0.398,-0.0010267585985183,1,0
0.4,-0.0010707057985183,1,0
0.402,-0.0011146529985183,1,0
0.404,-0.0010742268985183,1,0
0.406,-0.0009526218985183,1,0
0.408,-0.0006202832985183,1,0
0.41,-0.0006375862985183,1,0
0.412,-0.0007109848985183,1,0
0.414,-0.0007843834985183,1,0
0.416,-0.0009699853985183,1,0
0.418,-0.0011191783985183,1,0
0.42,-0.0011077680985183,1,0
0.422,-0.0008599842985183,1,0
0.424,-0.0006236712985183,1,0
0.426,-0.0007224677985183,1,0
0.428,-0.0008894114985183,1,0
0.43,-0.0010973499985183,1,0
0.432,-0.0011222638985183,1,0
0.434,-0.0010903198985183,1,0
0.436,-0.0010583758985183,1,0
0.438,-0.0009902286985183,1,0
0.44,-0.0009220814985183,1,0
0.442,-0.0007203623985183,1,0
0.444,-0.0006265026985183,1,0
0.446,-0.0008360867985183,1,0
0.448,-0.0010412543985183,1,0
